Date,Store,Product,Sales
6/10/20,North,Chicken Soup,9
6/10/20,North,Coffee Cake,10
6/10/20,North,Tuna Salad,3
6/10/20,North,Spaghetti and Meatballs,4
6/10/20,North,Turkey Sandwich,10
6/10/20,North,Garlic Hummus,7
6/10/20,North,Vanilla Pudding,7
6/10/20,North,Blueberry Oatmeal,1
6/10/20,North,Tofu Stir Fry,6
6/10/20,North,Broccoli Cheddar Soup,5
6/10/20,North,Kale Salad,2
6/10/20,North,Greek Yogurt,5
6/10/20,North,Ham Sandwich,3
6/11/20,North,Chicken Soup,6
6/11/20,North,Coffee Cake,8
6/11/20,North,Tuna Salad,7
6/11/20,North,Spaghetti and Meatballs,0
6/11/20,North,Turkey Sandwich,6
6/11/20,North,Garlic Hummus,1
6/11/20,North,Vanilla Pudding,11
6/11/20,North,Blueberry Oatmeal,2
6/11/20,North,Tofu Stir Fry,4
6/11/20,North,Broccoli Cheddar Soup,2
6/11/20,North,Kale Salad,3
6/11/20,North,Greek Yogurt,5
6/11/20,North,Ham Sandwich,4
6/12/20,North,Chicken Soup,3
6/12/20,North,Coffee Cake,7
6/12/20,North,Tuna Salad,1
6/12/20,North,Spaghetti and Meatballs,6
6/12/20,North,Turkey Sandwich,6
6/12/20,North,Garlic Hummus,4
6/12/20,North,Vanilla Pudding,4
6/12/20,North,Blueberry Oatmeal,2
6/12/20,North,Tofu Stir Fry,3
6/12/20,North,Broccoli Cheddar Soup,4
6/12/20,North,Kale Salad,2
6/12/20,North,Greek Yogurt,4
6/12/20,North,Ham Sandwich,4
6/13/20,North,Chicken Soup,14
6/13/20,North,Coffee Cake,9
6/13/20,North,Tuna Salad,2
6/13/20,North,Spaghetti and Meatballs,3
6/13/20,North,Turkey Sandwich,3
6/13/20,North,Garlic Hummus,5
6/13/20,North,Vanilla Pudding,5
6/13/20,North,Blueberry Oatmeal,6
6/13/20,North,Tofu Stir Fry,1
6/13/20,North,Broccoli Cheddar Soup,2
6/13/20,North,Kale Salad,4
6/13/20,North,Greek Yogurt,7
6/13/20,North,Ham Sandwich,2
6/14/20,North,Chicken Soup,6
6/14/20,North,Coffee Cake,9
6/14/20,North,Tuna Salad,4
6/14/20,North,Spaghetti and Meatballs,10
6/14/20,North,Turkey Sandwich,14
6/14/20,North,Garlic Hummus,7
6/14/20,North,Vanilla Pudding,17
6/14/20,North,Blueberry Oatmeal,9
6/14/20,North,Tofu Stir Fry,6
6/14/20,North,Broccoli Cheddar Soup,12
6/14/20,North,Kale Salad,11
6/14/20,North,Greek Yogurt,6
6/14/20,North,Ham Sandwich,11
6/15/20,North,Chicken Soup,9
6/15/20,North,Coffee Cake,6
6/15/20,North,Tuna Salad,4
6/15/20,North,Spaghetti and Meatballs,9
6/15/20,North,Turkey Sandwich,4
6/15/20,North,Garlic Hummus,1
6/15/20,North,Vanilla Pudding,2
6/15/20,North,Blueberry Oatmeal,6
6/15/20,North,Tofu Stir Fry,3
