Date,Store,Product,Stock
6/10/20,Lamar,Bison Quinoa Hash,15
6/10/20,Lamar,Veggie Taco Hash,17
6/10/20,Lamar,Turk Meatloaf,8
6/10/20,Lamar,Turkey Chili,14
6/10/20,Lamar,Turkey Bolognese,16
6/10/20,Lamar,Turkey Quinoa Hash,10
6/10/20,Lamar,Chicken Fried Broccoli Rice,17
6/10/20,Lamar,Grass-Fed Beef Taco Hash,14
6/10/20,Lamar,Turkey Meatloaf Rice and Beans Large,9
6/10/20,Lamar,Spaghetti Bolognese Large,9
6/10/20,Lamar,Pesto Chicken Pasta Large,8
6/10/20,Lamar,Chicken W Sweet Pot and Green Beans Large,9
6/10/20,Lamar,Chicken Chili Enchiladas with Rice Large,9
6/12/20,Lamar,Bison Quinoa Hash,17
6/12/20,Lamar,Veggie Taco Hash,15
6/12/20,Lamar,Turk Meatloaf,5
6/12/20,Lamar,Turkey Chili,15
6/12/20,Lamar,Turkey Bolognese,16
6/12/20,Lamar,Turkey Quinoa Hash,7
6/12/20,Lamar,Chicken Fried Broccoli Rice,16
6/12/20,Lamar,Grass-Fed Beef Taco Hash,12
6/12/20,Lamar,Turkey Meatloaf Rice and Beans Large,7
6/12/20,Lamar,Spaghetti Bolognese Large,8
6/12/20,Lamar,Pesto Chicken Pasta Large,10
6/12/20,Lamar,Chicken W Sweet Pot and Green Beans Large,11
6/12/20,Lamar,Chicken Chili Enchiladas with Rice Large,9
6/14/20,Lamar,Bison Quinoa Hash,16
6/14/20,Lamar,Veggie Taco Hash,15
6/14/20,Lamar,Turk Meatloaf,8
6/14/20,Lamar,Turkey Chili,13
6/14/20,Lamar,Turkey Bolognese,15
6/14/20,Lamar,Turkey Quinoa Hash,8
6/14/20,Lamar,Chicken Fried Broccoli Rice,15
6/14/20,Lamar,Grass-Fed Beef Taco Hash,11
6/14/20,Lamar,Turkey Meatloaf Rice and Beans Large,9
6/14/20,Lamar,Spaghetti Bolognese Large,9
6/14/20,Lamar,Pesto Chicken Pasta Large,11
6/14/20,Lamar,Chicken W Sweet Pot and Green Beans Large,13
6/14/20,Lamar,Chicken Chili Enchiladas with Rice Large,11
6/16/20,Lamar,Bison Quinoa Hash,12
6/16/20,Lamar,Veggie Taco Hash,11
6/16/20,Lamar,Turk Meatloaf,5
6/16/20,Lamar,Turkey Chili,6
6/16/20,Lamar,Turkey Bolognese,7
6/16/20,Lamar,Turkey Quinoa Hash,10
6/16/20,Lamar,Chicken Fried Broccoli Rice,10
6/16/20,Lamar,Grass-Fed Beef Taco Hash,9
6/16/20,Lamar,Turkey Meatloaf Rice and Beans Large,6
6/16/20,Lamar,Spaghetti Bolognese Large,6
6/16/20,Lamar,Pesto Chicken Pasta Large,6
6/16/20,Lamar,Chicken W Sweet Pot and Green Beans Large,7
6/16/20,Lamar,Chicken Chili Enchiladas with Rice Large,7
6/17/20,Lamar,Bison Quinoa Hash,19
6/17/20,Lamar,Veggie Taco Hash,19
6/17/20,Lamar,Turk Meatloaf,10
6/17/20,Lamar,Turkey Chili,13
6/17/20,Lamar,Turkey Bolognese,16
6/17/20,Lamar,Turkey Quinoa Hash,12
6/17/20,Lamar,Chicken Fried Broccoli Rice,20
6/17/20,Lamar,Grass-Fed Beef Taco Hash,11
6/17/20,Lamar,Turkey Meatloaf Rice and Beans Large,10
6/17/20,Lamar,Spaghetti Bolognese Large,10
6/17/20,Lamar,Pesto Chicken Pasta Large,9
6/17/20,Lamar,Chicken W Sweet Pot and Green Beans Large,12
6/17/20,Lamar,Chicken Chili Enchiladas with Rice Large,10
6/19/20,Lamar,Bison Quinoa Hash,18
6/19/20,Lamar,Veggie Taco Hash,18
6/19/20,Lamar,Turk Meatloaf,6
6/19/20,Lamar,Turkey Chili,16
6/19/20,Lamar,Turkey Bolognese,19
6/19/20,Lamar,Turkey Quinoa Hash,8
6/19/20,Lamar,Chicken Fried Broccoli Rice,18
6/19/20,Lamar,Grass-Fed Beef Taco Hash,13
6/19/20,Lamar,Turkey Meatloaf Rice and Beans Large,8
6/19/20,Lamar,Spaghetti Bolognese Large,9
6/19/20,Lamar,Pesto Chicken Pasta Large,10
